station,date_time,longitude,latitude,depth(m),총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[mg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L]
가로림연안1_연안,2007-02-01,126.3269444,36.94638889,13.0,474.1,31.87,5.48,1.02332,20.0,11.25,8.05,433.993,2.0,27.0,309.0,,318.0,0.69685,7.0,45.1
가로림연안1_연안,2007-05-01,126.3269444,36.94638889,23.0,361.0,32.04,12.55,1.05628,19.0,8.49,7.92,441.448,4.0,27.8,193.0,,205.0,0.83664,8.0,78.5565
가로림연안1_연안,2007-08-01,126.3269444,36.94638889,14.0,277.0,30.77,22.87,2.6478,37.6,6.9,7.95,337.148,16.4857,20.0551,100.232,,48.9629,0.809094,29.2564,42.5171
가로림연안1_연안,2007-11-01,126.3269444,36.94638889,12.0,587.0,31.43,16.29,1.2932,24.0,7.36,7.94,249.62,12.0,10.0,106.0,,164.0,1.18227,46.0,31.9
가로림연안2_연안,2007-02-01,126.3133333,36.99,14.0,508.2,31.9,5.76,1.17268,41.0,12.15,8.04,478.545,3.0,27.0,333.0,,341.0,1.03532,5.0,66.0
가로림연안2_연안,2007-05-01,126.3133333,36.99,20.0,404.0,31.98,10.64,0.84784,33.6,8.86,7.92,398.708,5.0,24.7,231.0,,244.0,0.93624,8.0,103.695
가로림연안2_연안,2007-08-01,126.3133333,36.99,17.0,60.5582,31.4,21.95,2.2314,11.8,7.08,7.95,192.356,13.6571,11.8306,45.047,,76.2939,0.473616,17.5897,25.4671
가로림연안2_연안,2007-11-01,126.3133333,36.99,13.0,237.0,31.5,17.15,1.77528,24.6,7.03,7.92,243.729,7.0,15.0,116.0,,175.0,0.904085,52.0,41.8
가로림연안3_연안,2007-02-01,126.2,36.94166667,35.0,540.1,31.93,5.59,1.31896,45.0,10.1,8.05,480.598,1.0,30.0,298.0,,306.0,1.03532,7.0,71.5
가로림연안3_연안,2007-05-01,126.2,36.94166667,34.0,367.0,32.04,9.42,0.09004,28.0,9.08,7.92,429.781,1.0,24.3,238.0,,247.0,0.6972,8.0,101.181
가로림연안3_연안,2007-08-01,126.2,36.94166667,30.0,85.4247,31.49,21.6,2.09152,13.8,7.17,7.96,170.572,24.5714,13.2541,46.8669,,82.1178,0.631488,10.6795,23.9563
가로림연안3_연안,2007-11-01,126.2,36.94166667,33.0,364.0,31.49,17.26,0.986,17.2,6.93,7.95,257.008,6.0,16.0,120.0,,149.0,0.645775,23.0,31.9
가막만1_환경관리,2007-02-01,127.73417,34.7225,10.0,796.0,33.62,7.4,1.93,8.0,7.9,8.22,319.0,6.0,16.0,219.0,,244.0,1.18,19.0,23.0
가막만1_환경관리,2007-05-01,127.73417,34.7225,11.0,817.0,33.99,17.81,2.21242,5.8,10.76,8.37,52.5756,1.12,16.7617,44.744,,56.868,1.21576,11.004,45.0
가막만1_환경관리,2007-08-01,127.73417,34.7225,12.0,409.0,31.84,24.94,3.14,22.8,5.02,8.06,126.0,1.0,3.0,21.0,,36.0,0.77,13.0,23.0
가막만1_환경관리,2007-11-01,127.73417,34.7225,16.0,902.0,32.5,17.06,4.91,12.0,5.64,8.1,463.0,17.0,11.0,91.0,,124.0,0.88,17.0,57.0
가막만2_환경관리,2007-02-01,127.68833,34.68917,6.0,572.0,33.86,7.39,3.68,8.8,8.2,8.26,208.0,2.0,8.0,123.0,,140.0,1.09,15.0,26.0
가막만2_환경관리,2007-05-01,127.68833,34.68917,5.0,642.0,34.0,16.29,4.54346,12.4,9.34,8.26,166.984,1.904,18.1691,58.296,,68.88,0.687862,8.68,53.0
가막만2_환경관리,2007-08-01,127.68833,34.68917,6.0,502.0,31.81,25.14,2.66,20.4,6.51,8.08,114.0,1.0,12.0,19.0,,34.0,0.48,14.0,23.0
가막만2_환경관리,2007-11-01,127.68833,34.68917,7.0,791.0,32.23,16.78,3.68,23.2,5.46,8.15,343.0,15.0,5.0,87.0,,116.0,0.62,13.0,76.0
가막만3_환경관리,2007-02-01,127.69028,34.62139,9.0,772.0,34.05,8.7,0.89,10.0,7.32,8.21,295.0,3.0,17.0,166.0,,183.0,0.77,14.0,29.0
가막만3_환경관리,2007-05-01,127.69028,34.62139,7.0,650.0,34.06,15.2,2.8855,11.2,9.79,8.3,240.176,8.54,18.6868,87.192,,107.254,0.543891,11.522,71.0
가막만3_환경관리,2007-08-01,127.69028,34.62139,9.0,403.0,32.01,22.91,2.51,22.8,5.7,8.03,455.0,6.0,5.0,59.0,,79.0,0.72,13.0,23.0
가막만3_환경관리,2007-11-01,127.69028,34.62139,9.0,767.0,32.89,17.61,3.83,8.4,5.47,8.16,269.0,23.0,5.0,90.0,,126.0,0.35,13.0,34.0
감포연안1_연안,2007-02-01,129.5108333,35.79805556,26.0,151.0,33.97,12.43,0.71732,7.0,9.78,7.96,268.0,8.0,17.0,81.0,,117.0,0.82,28.0,28.0
감포연안1_연안,2007-05-01,129.5108333,35.79805556,29.0,332.258,33.97,6.7,2.24384,17.8,8.07,7.7,359.953,4.99875,18.5168,7.0,,29.6929,0.838992,17.6942,35.4477
감포연안1_연안,2007-08-01,129.5108333,35.79805556,29.0,161.811,34.08,12.32,2.71598,2.8,7.83,7.78,442.491,7.7314,17.2561,73.4444,,83.0919,0.679184,1.91619,47.4182
감포연안1_연안,2007-11-01,129.5108333,35.79805556,30.0,144.873,33.89,16.16,1.28066,3.2,7.99,7.83,180.686,5.38532,7.01275,55.7898,,92.1603,0.639232,30.9852,29.0448
감포연안2_연안,2007-02-01,129.5305556,35.81555556,44.0,218.0,33.97,12.28,0.90994,7.8,9.62,7.95,274.0,9.0,12.0,93.0,,120.0,0.62,18.0,24.0
감포연안2_연안,2007-05-01,129.5305556,35.81555556,44.0,367.729,33.93,7.12,4.7196,14.4,7.88,7.73,227.513,5.85187,10.6373,58.5491,,78.9151,0.958848,14.5141,64.5853
감포연안2_연안,2007-08-01,129.5305556,35.81555556,43.0,175.761,34.1,12.16,3.5509,4.4,8.11,7.73,410.328,14.2098,15.2074,71.4627,,94.438,0.79904,8.76555,44.82
감포연안2_연안,2007-11-01,129.5305556,35.81555556,44.0,153.774,33.72,16.11,0.6392,2.0,7.45,7.8,189.91,6.21178,8.74625,53.9075,,136.848,0.59928,76.7291,15.8679
감포연안3_연안,2007-02-01,129.4883333,35.7075,27.0,167.0,34.01,12.53,0.93512,11.4,9.57,7.95,248.0,9.0,8.0,73.0,,104.0,0.54,22.0,22.0
감포연안3_연안,2007-05-01,129.4883333,35.7075,32.0,629.576,33.87,7.62,2.8853,13.6,8.12,7.76,299.882,6.73165,17.4137,30.0,,67.5538,0.918896,30.8221,36.7468
