station,date_time,longitude,latitude,총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[μg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L]
가로림연안1_연안,2007-02-01,126.3269444,36.94638889,465.3,31.84,5.51,0.97156,26.0,11.63,8.05,447.404,2.0,29.0,282.0,0.3,293.0,0.91586,9.0,50.6
가로림연안1_연안,2007-05-01,126.3269444,36.94638889,329.0,32.05,13.23,1.8812,10.8,8.54,7.94,445.242,4.0,21.5,199.0,1.0,214.0,0.65736,11.0,64.521
가로림연안1_연안,2007-08-01,126.3269444,36.94638889,135.339,30.67,23.28,2.31096,27.2,6.98,7.98,345.005,17.0,19.1061,81.5753,0.8,124.332,1.20377,25.7564,45.107
가로림연안1_연안,2007-11-01,126.3269444,36.94638889,266.0,31.41,16.41,1.63252,21.0,7.46,7.96,258.886,12.0,23.0,114.0,1.6,170.0,0.841163,44.0,34.1
가로림연안2_연안,2007-02-01,126.3133333,36.99,534.6,31.88,5.77,1.2724,43.8,12.5,8.03,441.875,1.0,31.0,353.0,0.2,361.0,1.01541,7.0,71.5
가로림연안2_연안,2007-05-01,126.3133333,36.99,328.0,31.96,11.21,1.79464,16.6,8.96,7.93,389.47,4.0,18.8,230.0,1.0,244.0,0.83664,10.0,64.7305
가로림연안2_연안,2007-08-01,126.3133333,36.99,91.4488,31.4,21.97,1.86468,8.6,7.15,7.96,182.585,13.6,12.7796,41.3069,2.1,68.8171,0.769626,13.9103,30.2152
가로림연안2_연안,2007-11-01,126.3133333,36.99,360.0,31.5,17.17,1.21532,17.8,7.19,7.93,249.884,8.0,17.0,124.0,1.3,179.0,1.13921,47.0,66.0
가로림연안3_연안,2007-02-01,126.2,36.94166667,542.3,31.89,5.61,1.19492,49.2,10.27,8.05,487.446,1.0,30.0,330.0,0.2,337.0,1.13487,6.0,71.5
가로림연안3_연안,2007-05-01,126.2,36.94166667,377.0,32.04,9.51,1.4922,29.0,9.19,7.95,429.259,1.0,24.6,228.0,0.9,243.0,0.75696,14.0,91.754
가로림연안3_연안,2007-08-01,126.2,36.94166667,137.286,31.49,21.61,1.68152,14.4,7.3,7.97,167.719,20.2,12.9378,47.0192,3.9,78.7064,1.0459,11.4872,34.7475
가로림연안3_연안,2007-11-01,126.2,36.94166667,325.0,31.5,17.26,0.77752,16.6,7.02,7.97,251.827,5.0,19.0,118.0,2.8,165.0,0.920643,42.0,34.1
가막만1_환경관리,2007-02-01,127.73417,34.7225,631.0,33.61,7.47,2.68,6.6,7.84,8.21,229.0,5.0,15.0,259.0,2.8,282.0,1.1,18.0,32.0
가막만1_환경관리,2007-05-01,127.73417,34.7225,569.0,33.99,17.94,2.28174,5.6,10.83,8.37,49.1932,1.498,18.9224,34.356,2.0,45.08,0.735853,9.226,43.0
가막만1_환경관리,2007-08-01,127.73417,34.7225,296.0,31.34,26.75,3.66,104.4,6.97,8.08,142.0,2.0,3.0,80.0,2.5,98.0,0.78,15.0,25.0
가막만1_환경관리,2007-11-01,127.73417,34.7225,881.0,32.11,17.78,2.57,9.6,5.5,8.11,337.0,19.0,13.0,105.0,2.8,145.0,0.85,21.0,162.0
가막만2_환경관리,2007-02-01,127.68833,34.68917,618.0,33.86,7.71,2.59,6.0,8.17,8.26,214.0,2.0,12.0,286.0,3.0,310.0,0.94,22.0,24.0
가막만2_환경관리,2007-05-01,127.68833,34.68917,561.0,33.98,18.14,1.63242,6.6,10.11,8.31,51.8616,2.226,14.7157,41.16,2.8,55.174,0.559888,11.788,50.0
가막만2_환경관리,2007-08-01,127.68833,34.68917,299.0,31.57,25.6,3.32,20.0,7.7,8.06,103.0,1.0,6.0,20.0,1.2,36.0,0.75,15.0,26.0
가막만2_환경관리,2007-11-01,127.68833,34.68917,832.0,32.08,17.09,3.74,8.4,5.6,8.17,362.0,13.0,4.0,79.0,3.0,112.0,0.77,19.0,63.0
가막만3_환경관리,2007-02-01,127.69028,34.62139,672.0,34.05,8.85,1.15,8.6,7.36,8.22,326.0,3.0,22.0,181.0,2.5,200.0,0.91,16.0,27.0
가막만3_환경관리,2007-05-01,127.69028,34.62139,496.0,34.05,16.31,3.5902,8.0,9.9,8.29,217.37,6.174,14.4925,61.39,2.2,81.704,0.591882,14.14,41.0
가막만3_환경관리,2007-08-01,127.69028,34.62139,269.0,31.64,25.0,6.22,54.8,7.18,7.98,60.0,3.0,2.0,16.0,1.8,32.0,0.82,13.0,18.0
가막만3_환경관리,2007-11-01,127.69028,34.62139,728.0,32.89,17.82,3.46,10.8,5.43,8.16,304.0,13.0,2.0,103.0,2.5,137.0,0.43,20.0,48.0
감포연안1_연안,2007-02-01,129.5108333,35.79805556,131.0,33.92,14.02,0.89506,10.6,10.04,8.0,211.0,9.0,7.0,57.0,9.0,83.0,0.62,17.0,20.0
감포연안1_연안,2007-05-01,129.5108333,35.79805556,378.357,33.85,15.39,10.6702,16.4,9.06,8.02,124.635,3.42581,2.28505,10.8073,6.0,30.6227,1.11866,16.3895,27.0961
감포연안1_연안,2007-08-01,129.5108333,35.79805556,58.5868,33.16,22.78,2.16676,4.6,8.28,8.04,58.8885,1.57294,5.0,5.38722,6.0,40.4323,0.759088,33.4722,39.0667
